hex,alpha entity
0x224f,&bumpe;
0x224f,&bumpeq;
0x0107,&cacute;
0x2229,&cap;
0x2a44,&capand;
0x2a49,&capbrcup;
0x2a4b,&capcap;
0x2a47,&capcup;
0x2a40,&capdot;
0x2229,&caps;
0x2041,&caret;
0x02c7,&caron;
0x2a4d,&ccaps;
0x010d,&ccaron;
0x00e7,&ccedil;
0x0109,&ccirc;
0x2a4c,&ccups;
0x2a50,&ccupssm;
0x010b,&cdot;
0x00b8,&cedil;
0x29b2,&cemptyv;
0x00a2,&cent;
0x00b7,&centerdot;
0x1d520,&cfr;
0x0447,&chcy;
0x2713,&check;
0x2713,&checkmark;
0x03c7,&chi;
0x25cb,&cir;
0x29c3,&cirE;
0x02c6,&circ;
0x2257,&circeq;
0x21ba,&circlearrowleft;
0x21bb,&circlearrowright;
0x00ae,&circledR;
0x24c8,&circledS;
0x229b,&circledast;
0x229a,&circledcirc;
0x229d,&circleddash;
0x2257,&cire;
0x2a10,&cirfnint;
0x2aef,&cirmid;
0x29c2,&cirscir;
0x2663,&clubs;
0x2663,&clubsuit;
0x003a,&colon;
0x2254,&colone;
0x2254,&coloneq;
0x002c,&comma;
0x0040,&commat;
0x2201,&comp;
0x2218,&compfn;
0x2201,&complement;
0x2102,&complexes;
0x2245,&cong;
0x2a6d,&congdot;
0x222e,&conint;
0x1d554,&copf;
0x2210,&coprod;
0x00a9,&copy;
0x2117,&copysr;
0x21b5,&crarr;
0x2717,&cross;
0x1d4b8,&cscr;
0x2acf,&csub;
0x2ad1,&csube;
0x2ad0,&csup;
0x2ad2,&csupe;
0x22ef,&ctdot;
0x2938,&cudarrl;
0x2935,&cudarrr;
0x22de,&cuepr;
0x22df,&cuesc;
0x21b6,&cularr;
0x293d,&cularrp;
0x222a,&cup;
0x2a48,&cupbrcap;
0x2a46,&cupcap;
0x2a4a,&cupcup;
0x228d,&cupdot;
0x2a45,&cupor;
0x222a,&cups;
0x21b7,&curarr;
0x293c,&curarrm;
0x22de,&curlyeqprec;
0x22df,&curlyeqsucc;
0x22ce,&curlyvee;
0x22cf,&curlywedge;
0x00a4,&curren;
0x21b6,&curvearrowleft;
0x21b7,&curvearrowright;
0x22ce,&cuvee;
0x22cf,&cuwed;
0x2232,&cwconint;
0x2231,&cwint;
0x232d,&cylcty;
0x21d3,&dArr;
0x2965,&dHar;
0x2020,&dagger;
0x2138,&daleth;
0x21ca,&darr2;
0x2193,&darr;
0x2010,&dash;
0x22a3,&dashv;
0x290f,&dbkarow;
0x02dd,&dblac;
0x010f,&dcaron;
0x0434,&dcy;
0x2146,&dd;
0x2021,&ddagger;
0x21ca,&ddarr;
0x2a77,&ddotseq;
0x00b0,&deg;
0x03b4,&delta;
0x29b1,&demptyv;
0x297f,&dfisht;
0x1d521,&dfr;
0x21c3,&dharl;
0x21c2,&dharr;
0x22c4,&diam;
0x22c4,&diamond;
0x2666,&diamondsuit;
0x2666,&diams;
0x00a8,&die;
0x03dd,&digamma;
0x22f2,&disin;
0x00f7,&div;
0x00f7,&divide;
0x22c7,&divideontimes;
0x22c7,&divonx;
0x0452,&djcy;
0x2199,&dlarr;
0x231e,&dlcorn;
0x230d,&dlcrop;
0x0024,&dollar;
0x1d555,&dopf;
0x02d9,&dot;
0x2250,&doteq;
0x2251,&doteqdot;
0x2238,&dotminus;
0x2214,&dotplus;
0x22a1,&dotsquare;
0x2306,&doublebarwedge;
0x2193,&downarrow;
0x21ca,&downdownarrows;
0x21c3,&downharpoonleft;
0x21c2,&downharpoonright;
0x2198,&drarr;
0x2910,&drbkarow;
0x231f,&drcorn;
0x230c,&drcrop;
0x1d4b9,&dscr;
0x0455,&dscy;
0x29f6,&dsol;
0x0111,&dstrok;
0x22f1,&dtdot;
0x25bf,&dtri;
0x25be,&dtrif;
0x21f5,&duarr;
0x296f,&duhar;
0x29a6,&dwangle;
0x045f,&dzcy;
0x27ff,&dzigrarr;
0x2a77,&eDDot;
0x2251,&eDot;
0x00e9,&eacute;
0x2a6e,&easter;
0x011b,&ecaron;
0x2256,&ecir;
0x00ea,&ecirc;
0x2255,&ecolon;
0x044d,&ecy;
0x0117,&edot;
0x2147,&ee;
0x2252,&efDot;
0x1d522,&efr;
0x2a9a,&eg;
0x00e8,&egrave;
0x2a96,&egs;
0x2a98,&egsdot;
0x2a99,&el;
0x23e7,&elinters;
0x2113,&ell;
0x2a95,&els;
0x2a97,&elsdot;
0x0113,&emacr;
0x2205,&empty;
0x2205,&emptyset;
0x2205,&emptyv;
0x2004,&emsp13;
0x2005,&emsp14;
0x2003,&emsp;
0x014b,&eng;
0x2002,&ensp;
0x0119,&eogon;
0x1d556,&eopf;
0x22d5,&epar;
0x29e3,&eparsl;
0x2a71,&eplus;
0x03b5,&epsi;
0x03b5,&epsilon;
0x03f5,&epsiv;
0x2256,&eqcirc;
0x2255,&eqcolon;
0x2242,&eqsim;
0x2a96,&eqslantgtr;
0x2a95,&eqslantless;
0x003d,&equals;
0x225f,&equest;
0x2261,&equiv;
0x2a78,&equivDD;
0x29e5,&eqvparsl;
0x2253,&erDot;
0x2971,&erarr;
0x212f,&escr;
0x2250,&esdot;
0x2242,&esim;
0x03b7,&eta;
0x00f0,&eth;
0x00eb,&euml;
0x20ac,&euro;
0x0021,&excl;
0x2203,&exist;
0x2130,&expectation;
